year,mean,region
2012,0.5765820278221083,Africa
2013,0.5760243850600612,Africa
2014,0.5745524729302997,Africa
2015,0.5750216748507168,Africa
2016,0.575255959069142,Africa
2017,0.5745520305757831,Africa
2018,0.5743120867759071,Africa
2019,0.5738798983021061,Africa
2020,0.5731726414551701,Africa
2021,0.5739295296120717,Africa
2022,0.5739295290542096,Africa
1980,0.6231416158035024,Americas
1981,0.6216682985158809,Americas
1982,0.6230498448984791,Americas
1983,0.625149769225515,Americas
1984,0.6250834204009825,Americas
1985,0.6249765484198347,Americas
1986,0.6270679496709559,Americas
1987,0.6279183265963703,Americas
1988,0.6293319306120074,Americas
1989,0.6300754580857462,Americas
1990,0.6289047822353658,Americas
1991,0.6268326301971857,Americas
1992,0.6274137746997484,Americas
1993,0.6269408303522666,Americas
1994,0.6266329838494334,Americas
1995,0.6268954330858449,Americas
1996,0.6267535609205315,Americas
1997,0.6264514276618559,Americas
1998,0.6266671949586052,Americas
1999,0.6252759917823648,Americas
2000,0.6258436070455469,Americas
2001,0.6327639436454188,Americas
2002,0.6315611694436737,Americas
2003,0.6292333718991925,Americas
2004,0.62491178455009,Americas
2005,0.621846770052955,Americas
2006,0.616224870573835,Americas
2007,0.6199198801348947,Americas
2008,0.6156944895252323,Americas
2009,0.6035762176741347,Americas
2010,0.60430120228178,Americas
2011,0.5978999483206748,Americas
2012,0.5917834464648399,Americas
2013,0.5935019313644075,Americas
2014,0.5871697998399463,Americas
2015,0.5855021239993976,Americas
2016,0.585893495051795,Americas
2017,0.5852767535065868,Americas
2018,0.5857054696285071,Americas
2019,0.5805127489586468,Americas
2020,0.5956413905558806,Americas
2021,0.594527284132498,Americas
2022,0.6039192747790115,Americas
1980,0.451403376740984,Oceania
1981,0.45212192039104565,Oceania
1982,0.4586236786333577,Oceania
1983,0.447186553080364,Oceania
1984,0.4552085084843183,Oceania
1985,0.44892526673433003,Oceania
1986,0.4465600811548403,Oceania
1987,0.44421934377199035,Oceania
1988,0.45020906053525667,Oceania
1989,0.431762124626258,Oceania
1990,0.4396825390251817,Oceania
1991,0.438731238978862,Oceania
1992,0.436537008991276,Oceania
1993,0.44413766198262067,Oceania
1994,0.44349819113208366,Oceania
1995,0.4413280457895013,Oceania
1996,0.43842465949304604,Oceania
1997,0.44058551694534703,Oceania
1998,0.4415172273151347,Oceania
1999,0.43270449584984966,Oceania
2000,0.421016901092421,Oceania
2001,0.41964345939201664,Oceania
2002,0.421925844827895,Oceania
2003,0.4170608830658007,Oceania
2004,0.407296025504692,Oceania
2005,0.3981710109419973,Oceania
2006,0.3852063628856293,Oceania
