unit,year,country,variable,value
g,1982,BD,gdiincj992,0.464844518853594
g,1983,BD,gdiincj992,0.464578776711212
g,1984,BD,gdiincj992,0.480773174141833
g,1985,BD,gdiincj992,0.476998044071253
g,1986,BD,gdiincj992,0.491775753557569
g,1987,BD,gdiincj992,0.491929783725244
g,1988,BD,gdiincj992,0.49614168637984
g,1989,BD,gdiincj992,0.487714772790167
g,1990,BD,gdiincj992,0.485482378118586
g,1991,BD,gdiincj992,0.459535717326267
g,1992,BD,gdiincj992,0.496988611961644
g,1993,BD,gdiincj992,0.510931161681921
g,1994,BD,gdiincj992,0.524737503773203
g,1995,BD,gdiincj992,0.538285219962173
g,1996,BD,gdiincj992,0.540295095875695
g,1997,BD,gdiincj992,0.541102100320057
g,1998,BD,gdiincj992,0.54100901163158
g,1999,BD,gdiincj992,0.542720211915395
g,2000,BD,gdiincj992,0.542489287791977
g,2001,BD,gdiincj992,0.545335105766977
g,2002,BD,gdiincj992,0.548635699705738
g,2003,BD,gdiincj992,0.553283642639553
g,2004,BD,gdiincj992,0.553329398470275
g,2005,BD,gdiincj992,0.556971844215479
g,2006,BD,gdiincj992,0.553238743702789
g,2007,BD,gdiincj992,0.55107075152733
g,2008,BD,gdiincj992,0.539327754300853
g,2009,BD,gdiincj992,0.533849930339002
g,2010,BD,gdiincj992,0.527858931275539
g,2011,BD,gdiincj992,0.523032574424761
g,2012,BD,gdiincj992,0.52149227478667
g,2013,BD,gdiincj992,0.519548682287454
g,2014,BD,gdiincj992,0.516448810030877
g,2015,BD,gdiincj992,0.513317699746857
g,2016,BD,gdiincj992,0.512822918399582
g,2017,BD,gdiincj992,0.51282981688264
g,2018,BD,gdiincj992,0.513108843648826
g,2019,BD,gdiincj992,0.513420127151694
g,2020,BD,gdiincj992,0.512586181690214
g,2021,BD,gdiincj992,0.455065881905602
g,2022,BD,gdiincj992,0.455065880741449
g,1981,BE,gdiincj992,0.255843443769596
g,1982,BE,gdiincj992,0.249314309757838
g,1983,BE,gdiincj992,0.250765666712537
g,1984,BE,gdiincj992,0.255337940468818
g,1985,BE,gdiincj992,0.267666950742788
g,1986,BE,gdiincj992,0.27624777959471
g,1987,BE,gdiincj992,0.280926949122408
g,1988,BE,gdiincj992,0.29904184435105
g,1989,BE,gdiincj992,0.309595608096381
g,1990,BE,gdiincj992,0.303680203599487
g,1991,BE,gdiincj992,0.297361813708242
g,1992,BE,gdiincj992,0.296924759513485
g,1993,BE,gdiincj992,0.294786420083326
g,1994,BE,gdiincj992,0.300076478023118
g,1995,BE,gdiincj992,0.295232439946888
g,1996,BE,gdiincj992,0.29415909933854
g,1997,BE,gdiincj992,0.296847244033277
g,1998,BE,gdiincj992,0.299006566685626
g,1999,BE,gdiincj992,0.303986871006128
g,2000,BE,gdiincj992,0.308558322626477
g,2001,BE,gdiincj992,0.300464767336563
g,2002,BE,gdiincj992,0.295728688877424
g,2003,BE,gdiincj992,0.296004883619584
g,2004,BE,gdiincj992,0.297691493406657
g,2005,BE,gdiincj992,0.326970365357796
g,2006,BE,gdiincj992,0.311487173669326
g,2007,BE,gdiincj992,0.296543632109049
g,2008,BE,gdiincj992,0.282278359286755
g,2009,BE,gdiincj992,0.274429214076275
g,2010,BE,gdiincj992,0.284534070166896
g,2011,BE,gdiincj992,0.271852752410044
g,2012,BE,gdiincj992,0.270344925419216
g,2013,BE,gdiincj992,0.270542496546434
g,2014,BE,gdiincj992,0.27410873811617
g,2015,BE,gdiincj992,0.278998985423433
g,2016,BE,gdiincj992,0.277234553041858
